914,تاريخ,أين يقع مقر جامعة الدول العربية؟,القاهرة
915,تاريخ,من هو مكتشف أمريكا؟,كريستوفر كولومبس
931,تاريخ,ما هي عاصمة فرنسا؟,باريس
932,تاريخ,من هو مخترع المصباح الكهربائي؟,توماس إديسون
933,تاريخ,في أي عام قامت ثورة 23 يوليو في مصر؟,1952م
934,تاريخ,"ما هي الدولة التي تسمى ""أرض الكنانة""؟",مصر
935,تاريخ,من هو القائد الذي فتح بلاد السند؟,محمد بن القاسم الثقفي
936,تاريخ,ما هي عاصمة ألمانيا؟,برلين
937,تاريخ,من هو العالم الذي اكتشف الدورة الدموية الصغرى؟,ابن النفيس
938,تاريخ,ما هي المعركة التي انتصر فيها المسلمون على التتار؟,عين جالوت
939,تاريخ,"من هو صاحب لقب ""شاعر النيل""؟",حافظ إبراهيم
940,تاريخ,أين يقع تمثال الحرية؟,نيويورك
961,تاريخ,من هو الخليفة الذي أمر ببناء قبة الصخرة؟,عبد الملك بن مروان
962,تاريخ,متى وقعت معركة حطين؟,583 هـ (1187م)
963,تاريخ,"ما هي الدولة التي كانت تسمى ""سيلان""؟",سريلانكا
964,تاريخ,من هو العالم الذي اخترع الهاتف؟,ألكسندر جراهام بيل
965,تاريخ,ما هي المدينة التي كانت عاصمة الدولة العباسية؟,بغداد
966,تاريخ,"من هو الفيلسوف الذي لقب بـ ""المعلم الأول""؟",أرسطو
967,تاريخ,في أي عام تأسست الأمم المتحدة؟,1945م
968,تاريخ,ما هي أقدم جامعة في العالم (ما زالت تعمل)؟,جامعة القرويين
969,تاريخ,من هو القائد الذي فتح بلاد الأندلس؟,طارق بن زياد
970,تاريخ,"ما هي المدينة التي تلقب بـ ""مدينة الضباب""؟",لندن
1,ديني,ما هي السورة التي تعدل ثلث القرآن؟,سورة الإخلاص
2,ديني,كم عدد أركان الإسلام؟,خمسة أركان
3,ديني,في أي يوم نزل القرآن الكريم لأول مرة؟,ليلة القدر
4,ديني,من هو النبي الذي ابتلعه الحوت؟,يونس عليه السلام
5,ديني,ما هي الصلاة التي لا ركوع فيها ولا سجود؟,صلاة الجنازة
6,ديني,من هو أول مؤذن في الإسلام؟,بلال بن رباح
7,ديني,ما اسم زوجة فرعون التي ذكرت في القرآن؟,آسيا بنت مزاحم
8,ديني,ما هي أطول سورة في القرآن الكريم؟,سورة البقرة
9,ديني,كم عدد سجدات التلاوة في القرآن؟,15 سجدة
10,ديني,"ما هو الاسم الآخر لسورة ""غافر""؟",سورة المؤمن
21,ديني,"من هو الصحابي الملقب بـ ""ذو النورين""؟",عثمان بن عفان
22,ديني,ما هي الغزوة التي جُرح فيها النبي ﷺ وشُجّ رأسه؟,غزوة أحد
23,ديني,من هو النبي الذي كفل مريم عليها السلام؟,زكريا عليه السلام
24,ديني,كم عدد السنوات التي قضاها الرسول في مكة بعد البعثة؟,13 سنة
25,ديني,"ما هي السورة التي تسمى ""عروس القرآن""؟",سورة الرحمن
26,ديني,من هو أول مولود للمهاجرين في المدينة؟,عبدالله بن الزبير
27,ديني,ما هو الحج الأصغر؟,العمرة
28,ديني,من هو الصحابي الذي أشار بحفر الخندق؟,سلمان الفارسي
29,ديني,كم كان عمر النبي ﷺ عند وفاته؟,63 عاماً
30,ديني,ما هي السورة التي خلت من البسملة في بدايتها؟,سورة التوبة
51,ديني,من هو الصحابي الذي نزلت الملائكة لتستمع لقراءته؟,أسيد بن حضير
52,ديني,من هو أول من رمى بسهم في سبيل الله؟,سعد بن أبي وقاص
53,ديني,ما هي السورة التي نزلت كاملة وشيعها سبعون ألف ملك؟,سورة الأنعام
54,ديني,من هو النبي الذي صام عن الكلام ثلاثة أيام؟,زكريا عليه السلام
55,ديني,أين توفي أبو عبيدة بن الجراح؟,الأردن (غور الأردن)
56,ديني,من هو الصحابي الذي قتله الجن؟,سعد بن عبادة (في رواية)
57,ديني,ما هو المسجد الذي أمر الرسول بهدمه وحرقه؟,مسجد الضرار
58,ديني,كم عدد الأنبياء الذين ذكروا في القرآن الكريم؟,25 نبياً
59,ديني,من هي آخر زوجات النبي ﷺ وفاةً؟,أم سلمة
60,ديني,"ما هي السورة التي تسمى ""الفاضحة""؟",سورة التوبة
101,ديني,من هو أول مولود في الإسلام بعد الهجرة؟,عبدالله بن الزبير
102,ديني,"ما هي السورة التي تسمى ""قلب القرآن""؟",سورة يس
103,ديني,كم عدد السنوات التي صامها النبي ﷺ رمضان؟,9 سنوات
104,ديني,من هو النبي الذي كان يعمل نجاراً؟,زكريا عليه السلام
105,ديني,ما هو الدعاء الذي يكثر منه النبي في ليلة القدر؟,اللهم إنك عفو تحب العفو فاعف عني
106,ديني,في أي مدينة يوجد المسجد الإبراهيمي؟,الخليل (فلسطين)
107,ديني,من هي ذات النطاقين؟,أسماء بنت أبي بكر
108,ديني,ما هي السورة التي تعادل ربع القرآن؟,سورة الكافرون
109,ديني,من هو أول من أسلم من الرجال؟,أبو بكر الصديق
110,ديني,ما هي الصلاة التي تصلى لطلب المطر؟,صلاة الاستسقاء
121,ديني,من هو الصحابي الذي أشار بجمع القرآن الكريم في عهد أبي بكر؟,عمر بن الخطاب
122,ديني,ما هي السورة التي ذكرت فيها البسملة مرتين؟,سورة النمل
123,ديني,من هو أول فدائي في الإسلام؟,علي بن أبي طالب
124,ديني,في أي سنة كانت غزوة الخندق (الأحزاب)؟,5 هجرية
125,ديني,"من هي زوجة النبي التي كانت تسمى ""أم المساكين""؟",زينب بنت خزيمة
126,ديني,ما هو المسجد الذي ذكر اسمه في القرآن الكريم غير المسجد الحرام والأقصى؟,مسجد الضرار (ذكر للذم) / مسجد قباء (أسس على التقوى)
127,ديني,كم عدد التكبيرات في الركعة الأولى من صلاة العيد؟,7 تكبيرات (غير تكبيرة الإحرام)
128,ديني,من هو النبي الذي ألان الله له الحديد؟,داوود عليه السلام
129,ديني,"ما هي السورة التي تسمى ""المنجية""؟",سورة الملك
130,ديني,من هو الصحابي الذي قتله مسيلمة الكذاب؟,حبيب بن زيد
151,ديني,من هو الصحابي الذي صلى بالناس إماماً وفيهم النبي ﷺ؟,عبد الرحمن بن عوف (وأبو بكر في مرض الموت)
152,ديني,ما هي السورة التي شيبت النبي ﷺ؟,سورة هود وأخواتها
153,ديني,"من هو الصحابي الذي لقب بـ ""الشهيد الحي""؟",طلحة بن عبيد الله
154,ديني,في أي غزوة استشهد مصعب بن عمير؟,غزوة أحد
155,ديني,من هو الصحابي الذي أضاءت عصاه في ليلة مظلمة؟,عباد بن بشر / أسيد بن حضير
156,ديني,ما هي أول سورة نزلت فيها سجدة تلاوة؟,سورة النجم
157,ديني,من هو الصحابي الذي ترجم خطبة النبي ﷺ للفرس؟,سلمان الفارسي
158,ديني,"ما هو ""يوم الحج الأكبر""؟",يوم النحر (عيد الأضحى)
159,ديني,من هي الصحابية التي قتلت سبعة من الروم يوم اليرموك؟,أسماء بنت يزيد
160,ديني,ما هو المسجد الذي صلى فيه النبي ﷺ ومعه الأنبياء ليلة الإسراء؟,المسجد الأقصى
201,ديني,من هو النبي الذي ألقي في النار ولم تحرقه؟,إبراهيم عليه السلام
202,ديني,كم عدد ركعات صلاة المغرب؟,3 ركعات
203,ديني,"ما هي السورة التي تبدأ بـ ""قل هو الله أحد""؟",سورة الإخلاص
204,ديني,من هي ابنة النبي ﷺ التي تزوجها علي بن أبي طالب؟,فاطمة الزهراء
205,ديني,ما هو الشهر الذي يأتي بعد رمضان مباشرة؟,شوال
206,ديني,من هو خازن الجنة؟,رضوان
207,ديني,ما هي القبلة الأولى للمسلمين؟,المسجد الأقصى
208,ديني,كم عدد الخلفاء الراشدين؟,4 خلفاء
209,ديني,من هو النبي الذي بنى السفينة؟,نوح عليه السلام
210,ديني,ما هو الطائر الذي تكلم مع النبي سليمان؟,الهدهد
221,ديني,من هو النبي الذي صبر على المرض سنوات طويلة؟,أيوب عليه السلام
222,ديني,"ما هي السورة التي تسمى ""سنام القرآن""؟",سورة البقرة
223,ديني,من هو الصحابي الذي اهتز لموته عرش الرحمن؟,سعد بن معاذ
224,ديني,كم عدد أبواب الجنة؟,8 أبواب
225,ديني,من هي زوجة النبي ﷺ التي كانت يهودية ثم أسلمت؟,صفية بنت حيي
226,ديني,ما هي السورة التي تعدل نصف القرآن؟,سورة الزلزلة (في بعض الآثار) / أو الإخلاص (ثلث)
227,ديني,من هو النبي الذي كلمه الله تكليماً؟,موسى عليه السلام
228,ديني,في أي يوم توفي النبي محمد ﷺ؟,يوم الاثنين (12 ربيع الأول)
229,ديني,ما هو المسجد الذي تعادل الصلاة فيه 1000 صلاة؟,المسجد النبوي
230,ديني,من هو الصحابي الذي دافع عن الرسول في أحد حتى شلت يده؟,طلحة بن عبيد الله
251,ديني,من هو الصحابي الذي كان رفيق النبي في رحلة الطائف؟,زيد بن حارثة
252,ديني,"ما هي السورة التي تسمى ""أخت الطويلتين""؟",سورة الأعراف
253,ديني,"من هو الصحابي الذي لقب بـ ""ساعي بريد الرسول""؟",عمرو بن أمية الضمري
254,ديني,في أي عام فرض الحج؟,السنة التاسعة للهجرة
255,ديني,من هو النبي الذي مات ولم يولد؟,آدم عليه السلام
256,ديني,"ما هي السورة التي ذكر فيها ""يوم الجمعة""؟",سورة الجمعة
257,ديني,من هو الصحابي الذي قتل أبا جهل؟,معاذ بن عمرو ومعوذ بن عفراء (وأجهز عليه ابن مسعود)
258,ديني,"ما هو ""يوم الفرقان""؟",يوم غزوة بدر
259,ديني,"من هي الصحابية التي لقبت بـ ""حارسة القرآن""؟",حفصة بنت عمر
260,ديني,ما هي أقصر خطبة في القرآن وعلى لسان من؟,"""اركبوا فيها"" (نوح عليه السلام)"
301,ديني,"ما هي السورة التي تسمى ""الفاتحة""؟",لأنها يفتتح بها القرآن الكريم
302,ديني,كم عدد سجدات التلاوة في القرآن الكريم؟,15 سجدة
303,ديني,من هو النبي الذي ابنه كافر وزوجته كافرة؟,نوح عليه السلام
304,ديني,ما هي أعظم آية في القرآن الكريم؟,آية الكرسي
305,ديني,"ما هو ""الذكر"" الذي يطمئن القلوب؟",ذكر الله (ألا بذكر الله تطمئن القلوب)
306,ديني,من هو النبي الذي كان يكلم الطير؟,سليمان عليه السلام
307,ديني,ما هي السورة التي تعادل ثلث القرآن؟,سورة الإخلاص
308,ديني,في أي مدينة ولد النبي محمد ﷺ؟,مكة المكرمة
309,ديني,ما هو الركن الثاني من أركان الإسلام؟,إقام الصلاة
310,ديني,من هو عم النبي الذي آمن به وناصره؟,حمزة بن عبد المطلب / العباس بن عبد المطلب
321,ديني,"من هو ""خطيب الأنبياء""؟",شعيب عليه السلام
322,ديني,"ما هي السورة التي ذكر فيها اسم ""الله"" في كل آية؟",سورة المجادلة
323,ديني,من هو الصحابي الذي جمع القرآن في مصحف واحد؟,عثمان بن عفان
324,ديني,ما هي الصلاة التي يركع فيها المصلي 4 ركوعات وتسجد 4 سجدات؟,صلاة الكسوف/الخسوف (ركعتين في كل ركعة ركوعان)
325,ديني,من هو النبي الذي صام عن الكلام ثلاثة أيام؟,زكريا عليه السلام
326,ديني,من هي أول شهيدة في الإسلام؟,سمية بنت خياط (أم عمار)
327,ديني,ما هو اسم خازن النار؟,مالك
328,ديني,كم عدد السنوات التي نزل فيها القرآن المكي؟,13 سنة
329,ديني,"ما هي السورة التي تسمى ""بني إسرائيل""؟",سورة الإسراء
330,ديني,من هو الصحابي الذي دعي له النبي بكثرة المال والولد؟,أنس بن مالك
351,ديني,"من هو الصحابي الذي لقب بـ ""ترجمان القرآن""؟",عبد الله بن عباس
352,ديني,"ما هي السورة التي تسمى ""النساء الصغرى""؟",سورة الطلاق
353,ديني,من هو النبي الذي آمن به جميع قومه؟,يونس عليه السلام (بعد العذاب)
354,ديني,ما هو المكان الذي لم تصبه الشمس إلا مرة واحدة؟,قاع البحر الذي انشق لموسى عليه السلام
355,ديني,من هو الصحابي الذي قتله الجن؟,سعد بن عبادة (في رواية مشهورة)
356,ديني,ما هي السورة التي شيبت الرسول وأخواتها؟,سورة هود
357,ديني,من هو الصحابي الذي كان يشبه الرسول ﷺ في خلقه؟,جعفر بن أبي طالب / والحسن بن علي
358,ديني,كم عدد الأنبياء والرسل المذكورين في القرآن بالاسم؟,25 نبياً ورسولاً
359,ديني,من هي المرأة التي أوحى الله إليها (ليس وحي رسالة بل إلهام)؟,أم موسى (وأوحينا إلى أم موسى)
360,ديني,ما هي الصلاة التي يركع فيها المصلي 4 ركعات ويسجد 4 سجدات؟,صلاة الكسوف والخسوف
401,ديني,"ما هي السورة التي تسمى ""أم الكتاب""؟",سورة الفاتحة
402,ديني,كم عدد ركعات صلاة الجمعة؟,ركعتان
403,ديني,من هو النبي الذي ألان الله له الحديد؟,داوود عليه السلام
404,ديني,ما هو الحج الأصغر؟,العمرة
405,ديني,ما هي السورة التي تنتهي جميع آياتها بحرف السين؟,سورة الناس
406,ديني,من هو الصحابي الذي رافق النبي في الغار؟,أبو بكر الصديق
407,ديني,ما هو الحيوان الذي ارتبط بقصة أصحاب الكهف؟,الكلب
408,ديني,ما هي الصلاة التي ليس لها أذان ولا إقامة؟,صلاة العيد / صلاة الجنازة
409,ديني,"من هي أم المؤمنين التي كانت تسمى ""الصوامة القوامة""؟",حفصة بنت عمر
410,ديني,في أي شهر نزل القرآن الكريم؟,شهر رمضان
421,ديني,"من هو ""أمين هذه الأمة""؟",أبو عبيدة بن الجراح
422,ديني,"ما هي السورة التي تسمى ""براءة""؟",سورة التوبة
423,ديني,"من هو النبي الذي كانت معجزته ""العصا""؟",موسى عليه السلام
424,ديني,كم عدد التكبيرات في الركعة الثانية من صلاة العيد؟,5 تكبيرات (غير تكبيرة الانتقال)
425,ديني,"من هو الصحابي الذي لقب بـ ""غسيل الملائكة""؟",حنظلة بن أبي عامر
426,ديني,ما هي السورة التي تعادل ربع القرآن؟,سورة الكافرون
427,ديني,من هو أول سفير في الإسلام؟,مصعب بن عمير
428,ديني,ما هي الليلة التي هي خير من ألف شهر؟,ليلة القدر
429,ديني,من هو النبي الذي ابتلعته الأرض؟,قارون (كان من قوم موسى وليس نبياً) / الخسف بقارون
430,ديني,من هو الصحابي الذي أشار بحفر الخندق؟,سلمان الفارسي
451,ديني,"من هو الصحابي الذي لقب بـ ""أسد الله""؟",حمزة بن عبد المطلب / علي بن أبي طالب
452,ديني,"ما هي السورة التي تسمى ""القتال""؟",سورة محمد
453,ديني,"من هو النبي الذي بشر بالنبي محمد ﷺ باسم ""أحمد""؟",عيسى عليه السلام
454,ديني,ما هو المسجد الذي أسس على التقوى من أول يوم؟,مسجد قباء
455,ديني,من هو الصحابي الذي قتل مسيلمة الكذاب؟,وحشي بن حرب
456,ديني,"ما هي السورة التي ذكرت فيها قصة ""ذو القرنين""؟",سورة الكهف
457,ديني,من هو الصحابي الذي كان آخر من مات من العشرة المبشرين بالجنة؟,سعد بن أبي وقاص
458,ديني,كم عدد السنوات التي قضاها يوسف عليه السلام في السجن؟,بضع سنين (قيل 7 سنوات)
459,ديني,من هي المرأة التي جادلت النبي في زوجها وسميت السورة باسمها (المجادلة)؟,خولة بنت ثعلبة
460,ديني,ما هي الصلاة التي تصلى عند تغير لون الشمس أو القمر؟,صلاة الكسوف / الخسوف
501,ديني,"ما هي السورة التي تسمى ""الفاتحة""؟",سورة الحمد
502,ديني,من هو النبي الذي ابتلعه الحوت؟,يونس عليه السلام
503,ديني,كم عدد أركان الإيمان؟,6 أركان
504,ديني,ما هي الصلاة التي يسن فيها إطالة القراءة والركوع؟,صلاة الكسوف
505,ديني,من هو الصحابي الذي نام في فراش النبي ليلة الهجرة؟,علي بن أبي طالب
506,ديني,"ما هو ""الذكر"" الذي يعادل عتق عشر رقاب؟",لا إله إلا الله وحده لا شريك له.. (100 مرة)
507,ديني,من هي أخت الرسول ﷺ من الرضاعة؟,الشيماء
508,ديني,ما هي السورة التي تعدل نصف القرآن (في بعض الأقوال)؟,سورة الزلزلة
509,ديني,في أي غزوة كسرت رباعية النبي ﷺ؟,غزوة أحد
510,ديني,ما هو الحيوان الذي رافق أهل الكهف؟,الكلب
521,ديني,من هو الصحابي الذي اهتز العرش لموته؟,سعد بن معاذ
522,ديني,"ما هي السورة التي تسمى ""النساء الصغرى""؟",سورة الطلاق
523,ديني,من هو النبي الذي كان يعمل خياطاً؟,إدريس عليه السلام
524,ديني,"ما هي الغزوة التي سميت بـ ""غزوة العسرة""؟",غزوة تبوك
525,ديني,من هي الزوجة التي وهبت نوبتها لعائشة رضي الله عنها؟,سودة بنت زمعة
526,ديني,كم عدد التكبيرات في الركعة الأولى من صلاة الجنازة؟,تكبيرة الإحرام فقط (ثم الفاتحة) - المجموع 4 تكبيرات
527,ديني,"من هو الصحابي الذي لقب بـ ""بحر الجود""؟",عبد الله بن جعفر
528,ديني,"ما هي السورة التي ذكرت فيها قصة ""أصحاب الأخدود""؟",سورة البروج
529,ديني,من هو أول من استلم الحجر الأسود من الأئمة؟,عبد الله بن الزبير
530,ديني,ما هو المسجد الذي أمر الله نبيه أن يتوجه إليه في الصلاة أول الأمر؟,المسجد الأقصى
551,ديني,من هو الصحابي الذي غسلته الملائكة؟,حنظلة بن أبي عامر
552,ديني,"ما هي السورة التي ذكرت فيها ""البسملة"" في آية من آياتها (غير البداية)؟",سورة النمل (إنه من سليمان وإنه بسم الله..)
553,ديني,"من هو النبي الذي بشر بالنبي محمد ﷺ باسم ""أحمد""؟",عيسى عليه السلام
554,ديني,ما هو المكان الذي صلى فيه النبي ﷺ إماماً بالأنبياء؟,المسجد الأقصى
555,ديني,"من هو الصحابي الذي قتل ""مسيلمة الكذاب""؟",وحشي بن حرب
556,ديني,"ما هي السورة التي تسمى ""المبعثرة""؟",سورة التوبة
557,ديني,"من هو الصحابي الذي لقب بـ ""ذو البجادين""؟",عبد الله بن عبد نهم
558,ديني,كم عدد السنوات التي قضاها النبي في المدينة؟,10 سنوات
559,ديني,"من هي الصحابية التي كانت تسمى ""خاطبة النساء""؟",نفيسة بنت منية (صديقة خديجة)
560,ديني,"ما هو ""يوم التروية""؟",اليوم الثامن من ذي الحجة
601,ديني,"ما هي السورة التي تسمى ""التوديع""؟",سورة النصر
602,ديني,من هو النبي الذي كان أبوه آزر؟,إبراهيم عليه السلام
603,ديني,كم عدد ركعات صلاة الوتر؟,أقله ركعة واحدة
604,ديني,ما هو الركن الثالث من أركان الإسلام؟,إيتاء الزكاة
605,ديني,"من هي ""ذات النطاقين""؟",أسماء بنت أبي بكر
606,ديني,ما هي السورة التي تحمي من المسيح الدجال (قراءة عشر آيات منها)؟,سورة الكهف (أول 10 آيات)
607,ديني,من هو الصحابي الذي أمره النبي بتبليغ سورة براءة للمشركين؟,علي بن أبي طالب
608,ديني,ما هو اسم خازن الجنة؟,رضوان
609,ديني,في أي يوم ولد النبي ﷺ؟,يوم الاثنين
610,ديني,"ما هو ""الذكر"" الذي يغفر الذنوب ولو كانت مثل زبد البحر؟",سبحان الله وبحمده (100 مرة)
621,ديني,"من هو ""حبر الأمة""؟",عبد الله بن عباس
622,ديني,"ما هي السورة التي تسمى ""الفاضحة""؟",سورة التوبة
623,ديني,"من هو النبي الذي كانت معجزته ""إحياء الموتى"" بإذن الله؟",عيسى عليه السلام
624,ديني,ما هي الصلاة التي تصلى جماعة في رمضان بعد العشاء؟,صلاة التراويح
625,ديني,من هو الصحابي الذي دافع عن النبي في أحد حتى شلت يده؟,طلحة بن عبيد الله
626,ديني,ما هي السورة التي تعادل ثلث القرآن؟,سورة الإخلاص
627,ديني,من هو أول من رمى بسهم في الإسلام؟,سعد بن أبي وقاص
628,ديني,ما هي الليلة التي نزل فيها القرآن جملة واحدة إلى السماء الدنيا؟,ليلة القدر
629,ديني,"من هو النبي الذي لقب بـ ""ذو النون""؟",يونس عليه السلام
630,ديني,من هو الصحابي الذي جمع الناس على مصحف واحد؟,عثمان بن عفان
651,ديني,"من هو الصحابي الذي لقب بـ ""سيد القراء""؟",أبي بن كعب
652,ديني,"ما هي السورة التي تسمى ""المجادلة""؟",سورة المجادلة (قد سمع)
653,ديني,"من هو النبي الذي بشر بقدوم النبي محمد ﷺ باسم ""أحمد""؟",عيسى عليه السلام
654,ديني,"ما هو المسجد الذي ذكر في القرآن بأنه ""أسس على التقوى""؟",مسجد قباء
655,ديني,"من هو الصحابي الذي قتل ""مسيلمة الكذاب""؟",وحشي بن حرب
656,ديني,"ما هي السورة التي تسمى ""بني إسرائيل""؟",سورة الإسراء
657,ديني,من هو الصحابي الذي كان آخر من مات من الصحابة؟,أبو الطفيل عامر بن واثلة
658,ديني,كم عدد السنوات التي قضاها النبي في مكة بعد البعثة؟,13 سنة
659,ديني,من هي الصحابية التي قتلت سبعة من الروم يوم اليرموك؟,أسماء بنت يزيد
660,ديني,"ما هو ""يوم النحر""؟",يوم عيد الأضحى (10 ذو الحجة)
701,ديني,"ما هي السورة التي تسمى ""السبع المثاني""؟",سورة الفاتحة
702,ديني,من هو النبي الذي كلمه الله عند جبل الطور؟,موسى عليه السلام
703,ديني,كم عدد ركعات صلاة الفجر؟,ركعتان
704,ديني,"ما هو ""الذكر"" الذي ينجي من عذاب القبر؟",قراءة سورة الملك
705,ديني,من هي زوجة فرعون التي ضرب الله بها مثلاً للذين آمنوا؟,آسيا بنت مزاحم
706,ديني,ما هو الحيوان الذي ارتبط بقصة النبي صالح؟,الناقة
707,ديني,في أي يوم من أيام الأسبوع خلق الله آدم؟,يوم الجمعة
708,ديني,ما هي السورة التي تعادل ربع القرآن؟,سورة الكافرون
709,ديني,"من هو الصحابي الذي لقب بـ ""أمين هذه الأمة""؟",أبو عبيدة بن الجراح
710,ديني,ما هو الركن الخامس من أركان الإسلام؟,حج البيت
721,ديني,"من هو ""ذو النورين""؟",عثمان بن عفان
722,ديني,"ما هي السورة التي تسمى ""أخت الطويلتين""؟",سورة الأعراف
723,ديني,من هو النبي الذي كان يعمل حداداً؟,داوود عليه السلام
724,ديني,ما هي الصلاة التي ليس فيها ركوع ولا سجود؟,صلاة الجنازة
725,ديني,من هو الصحابي الذي أشار بجمع القرآن؟,عمر بن الخطاب (أشار على أبي بكر)
726,ديني,ما هي السورة التي ذكرت فيها البسملة مرتين؟,سورة النمل
727,ديني,من هو أول من أسلم من الموالي؟,زيد بن حارثة
728,ديني,ما هي الليلة التي أنزل فيها القرآن؟,ليلة القدر
729,ديني,من هو النبي الذي ابتلعه الحوت؟,يونس عليه السلام
730,ديني,"من هو الصحابي الذي لقب بـ ""سيف الله المسلول""؟",خالد بن الوليد
751,ديني,"من هو الصحابي الذي لقب بـ ""حبر الأمة""؟",عبد الله بن عباس
752,ديني,"ما هي السورة التي تسمى ""الفاضحة""؟",سورة التوبة
753,ديني,"من هو النبي الذي بشر بالنبي محمد باسم ""أحمد""؟",عيسى عليه السلام
754,ديني,ما هو المسجد الذي أسس على التقوى؟,مسجد قباء
755,ديني,"من هو الصحابي الذي قتل ""مسيلمة الكذاب""؟",وحشي بن حرب
756,ديني,"ما هي السورة التي تسمى ""بني إسرائيل""؟",سورة الإسراء
757,ديني,من هو الصحابي الذي كان آخر من مات من الصحابة؟,أبو الطفيل عامر بن واثلة
758,ديني,كم عدد السنوات التي قضاها النبي في مكة بعد البعثة؟,13 سنة
759,ديني,من هي الصحابية التي دافعت عن النبي في أحد؟,نسيبة بنت كعب (أم عمارة)
760,ديني,"ما هو ""يوم الفرقان""؟",يوم غزوة بدر
801,ديني,"ما هي السورة التي تسمى ""المنجية""؟",سورة الملك
802,ديني,من هو النبي الذي كان يعمل في رعي الغنم؟,كل الأنبياء (وعلى رأسهم محمد ﷺ وموسى)
803,ديني,كم عدد ركعات صلاة العصر؟,4 ركعات
804,ديني,ما هو الركن الأول من أركان الإسلام؟,الشهادتان
805,ديني,"من هي ""أم المساكين""؟",زينب بنت خزيمة
806,ديني,ما هي السورة التي بدأت باسم ثمرتين؟,سورة التين (والتين والزيتون)
807,ديني,من هو الصحابي الذي اهتز له عرش الرحمن؟,سعد بن معاذ
808,ديني,ما هو الحيوان الذي ذكر في قصة أبرهة الحبشي؟,الفيل
809,ديني,في أي يوم نزل القرآن الكريم؟,ليلة القدر
810,ديني,"ما هو ""الذكر"" الذي يثقل الميزان (حبيبتان إلى الرحمن)؟",سبحان الله وبحمده سبحان الله العظيم
821,ديني,"من هو ""ذو النورين""؟",عثمان بن عفان
822,ديني,"ما هي السورة التي تسمى ""قلب القرآن""؟",سورة يس
823,ديني,من هو النبي الذي كان يعمل نجاراً؟,زكريا عليه السلام
824,ديني,ما هي الصلاة التي تصلى لطلب المطر؟,صلاة الاستسقاء
825,ديني,من هو الصحابي الذي أشار بحفر الخندق؟,سلمان الفارسي
826,ديني,ما هي السورة التي ذكرت فيها البسملة مرتين؟,سورة النمل
827,ديني,من هو أول من أسلم من الرجال؟,أبو بكر الصديق
828,ديني,ما هي الليلة التي هي خير من ألف شهر؟,ليلة القدر
829,ديني,من هو النبي الذي ابتلعه الحوت؟,يونس عليه السلام
830,ديني,"من هو الصحابي الذي لقب بـ ""سيف الله المسلول""؟",خالد بن الوليد
851,ديني,"من هو الصحابي الذي لقب بـ ""حبر الأمة""؟",عبد الله بن عباس
852,ديني,"ما هي السورة التي تسمى ""الفاضحة""؟",سورة التوبة
853,ديني,"من هو النبي الذي بشر بالنبي محمد باسم ""أحمد""؟",عيسى عليه السلام
854,ديني,ما هو المسجد الذي أسس على التقوى؟,مسجد قباء
855,ديني,"من هو الصحابي الذي قتل ""مسيلمة الكذاب""؟",وحشي بن حرب
856,ديني,"ما هي السورة التي تسمى ""بني إسرائيل""؟",سورة الإسراء
857,ديني,من هو الصحابي الذي كان آخر من مات من الصحابة؟,أبو الطفيل عامر بن واثلة
858,ديني,كم عدد السنوات التي قضاها النبي في مكة بعد البعثة؟,13 سنة
859,ديني,من هي الصحابية التي دافعت عن النبي في أحد؟,نسيبة بنت كعب (أم عمارة)
860,ديني,"ما هو ""يوم الفرقان""؟",يوم غزوة بدر
901,ديني,"ما هي السورة التي تسمى ""الفاتحة""؟",سورة الحمد
902,ديني,من هو النبي الذي كلمه الله تكليماً؟,موسى عليه السلام
903,ديني,كم عدد ركعات صلاة العشاء؟,4 ركعات
904,ديني,"ما هو ""سيد الشهور""؟",شهر رمضان
905,ديني,"من هي ""أم المؤمنين"" التي روت الكثير من الأحاديث؟",عائشة بنت أبي بكر
906,ديني,ما هي السورة التي تعدل ثلث القرآن؟,سورة الإخلاص
907,ديني,من هو الصحابي الذي أمره النبي بالأذان يوم فتح مكة فوق الكعبة؟,بلال بن رباح
908,ديني,ما هو الحيوان الذي خلقه الله من ناقة؟,لا يوجد (الناقة هي معجزة صالح وخرجت من الصخرة)
909,ديني,في أي ليلة نزل القرآن الكريم؟,ليلة القدر
910,ديني,"ما هو ""الذكر"" الذي يغرس لك نخلة في الجنة؟",سبحان الله العظيم وبحمده
921,ديني,"من هو ""ذو النورين""؟",عثمان بن عفان
922,ديني,"ما هي السورة التي تسمى ""أخت الطويلتين""؟",سورة الأعراف
923,ديني,من هو النبي الذي كان يعمل خياطاً؟,إدريس عليه السلام
924,ديني,ما هي الصلاة التي تصلى عند الكسوف؟,صلاة الكسوف
925,ديني,من هو الصحابي الذي أشار بجمع القرآن؟,عمر بن الخطاب
926,ديني,ما هي السورة التي ذكرت فيها البسملة مرتين؟,سورة النمل
927,ديني,من هو أول من أسلم من الصبيان؟,علي بن أبي طالب
928,ديني,ما هي الليلة التي هي خير من ألف شهر؟,ليلة القدر
929,ديني,من هو النبي الذي ابتلعه الحوت؟,يونس عليه السلام
930,ديني,"من هو الصحابي الذي لقب بـ ""سيف الله المسلول""؟",خالد بن الوليد
951,ديني,"من هو الصحابي الذي لقب بـ ""حبر الأمة""؟",عبد الله بن عباس
